image_path,image_id,class_id,class_name,original_prediction,original_confidence,original_prediction_id,bolero_prediction,bolero_confidence,bolero_prediction_id,prediction_agreement,original_correct,bolero_correct,depth_mean,depth_std,boundary_coverage,depth_path,boundary_path,thermal_path,reconstruction_path
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00009111.JPEG,ILSVRC2012_val_00009111,n01440764,tench,"tench, Tinca tinca",0.9999966621398926,0,"tench, Tinca tinca",0.9999990463256836,0,True,True,True,0.5909932255744934,0.24437740445137024,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00009111.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00009111.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00009111.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00009111.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00009191.JPEG,ILSVRC2012_val_00009191,n01440764,tench,"tench, Tinca tinca",1.0,0,"tench, Tinca tinca",0.9999973773956299,0,True,True,True,0.3631555736064911,0.29885968565940857,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00009191.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00009191.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00009191.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00009191.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00017472.JPEG,ILSVRC2012_val_00017472,n01440764,tench,"tench, Tinca tinca",1.0,0,"tench, Tinca tinca",1.0,0,True,True,True,0.6019620895385742,0.233550563454628,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00017472.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00017472.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00017472.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00017472.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00017700.JPEG,ILSVRC2012_val_00017700,n01440764,tench,"tench, Tinca tinca",1.0,0,"tench, Tinca tinca",1.0,0,True,True,True,0.4151521325111389,0.35543426871299744,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00017700.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00017700.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00017700.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00017700.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00021740.JPEG,ILSVRC2012_val_00021740,n01440764,tench,"tench, Tinca tinca",0.9993270635604858,0,"tench, Tinca tinca",0.9999988079071045,0,True,True,True,0.3713407814502716,0.24315962195396423,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00021740.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00021740.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00021740.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00021740.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00029930.JPEG,ILSVRC2012_val_00029930,n01440764,tench,"tench, Tinca tinca",1.0,0,"tench, Tinca tinca",1.0,0,True,True,True,0.6725592613220215,0.2163877636194229,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00029930.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00029930.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00029930.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00029930.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00030740.JPEG,ILSVRC2012_val_00030740,n01440764,tench,"tench, Tinca tinca",0.9999682903289795,0,"tench, Tinca tinca",0.9999892711639404,0,True,True,True,0.4866436719894409,0.23243579268455505,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00030740.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00030740.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00030740.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00030740.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00037861.JPEG,ILSVRC2012_val_00037861,n01440764,tench,"tench, Tinca tinca",0.9999915361404419,0,"tench, Tinca tinca",0.9999188184738159,0,True,True,True,0.33647242188453674,0.27649644017219543,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00037861.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00037861.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00037861.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00037861.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00045880.JPEG,ILSVRC2012_val_00045880,n01440764,tench,"tench, Tinca tinca",0.9999988079071045,0,"tench, Tinca tinca",1.0,0,True,True,True,0.431318998336792,0.2953210473060608,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00045880.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00045880.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00045880.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00045880.png
F:\DeepLearningTest\clip_corruption_calibration_repo\clip_corruption_calibration\data\imagenette2-160\val\n01440764\ILSVRC2012_val_00046252.JPEG,ILSVRC2012_val_00046252,n01440764,tench,"tench, Tinca tinca",0.9999890327453613,0,"tench, Tinca tinca",0.9999823570251465,0,True,True,True,0.4843560755252838,0.23159241676330566,0.1,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\depth_maps\ILSVRC2012_val_00046252.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\boundary_maps\ILSVRC2012_val_00046252.npy,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\thermal_representations\ILSVRC2012_val_00046252.png,F:\DeepLearningTest\bolero_repo\results\bolero_evidence\bolero_reconstructions\ILSVRC2012_val_00046252.png
